ID,Users,Memory,CPU,CartReplicas,Metric,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
11,150,0.5,0.25,4,Avg (sec),0.011,0.002,0.049,0.051,0.115,0.109,0.011,0.002,0.002,0.048,0.024,0.002,0.047,0.051,0.003,0.052,0.023,0.023,0.002
11,150,0.5,0.25,4,SD (sec),0.062,0.002,0.207,0.208,0.579,0.469,0.059,0.002,0.002,0.203,0.135,0.002,0.203,0.207,0.008,0.21,0.133,0.133,0.002
11,150,0.5,0.25,4,Mix % (take failure into account),0.0131,0.0131,0.1132,0.0958,0.2259,0.0264,0.0263,0.0303,0.1002,0.0303,0.113,0.0263,0.0302,0.0433,0.0131,0.0303,0.0131,0.0131,0.0433
12,200,0.5,0.25,2,Avg (sec),0.007,0.002,0.004,0.005,3.797,2.607,0.007,0.002,0.002,0.005,0.005,0.002,0.004,0.005,0.003,0.005,0.005,0.005,0.002
12,200,0.5,0.25,2,SD (sec),0.008,0.002,0.003,0.008,5.208,4.062,0.008,0.002,0.002,0.008,0.008,0.002,0.003,0.008,0.007,0.008,0.007,0.007,0.002
12,200,0.5,0.25,2,Mix % (take failure into account),0.0126,0.0126,0.114,0.0947,0.2262,0.0264,0.0264,0.0306,0.1015,0.0306,0.1127,0.0264,0.0306,0.0432,0.0126,0.0306,0.0126,0.0126,0.0431
13,250,0.5,0.5,1,Avg (sec),0.055,0.002,0.425,0.432,0.32,0.507,0.057,0.002,0.002,0.419,0.211,0.002,0.428,0.426,0.003,0.415,0.216,0.206,0.002
13,250,0.5,0.5,1,SD (sec),0.213,0.004,0.493,0.494,0.464,0.615,0.218,0.003,0.004,0.492,0.403,0.005,0.494,0.493,0.008,0.491,0.407,0.4,0.004
13,250,0.5,0.5,1,Mix % (take failure into account),0.0131,0.0131,0.113,0.0958,0.2261,0.0262,0.0262,0.0303,0.0999,0.0303,0.113,0.0262,0.0303,0.0434,0.0131,0.0303,0.0131,0.0131,0.0434
14,150,0.5,0.5,4,Avg (sec),0.012,0.002,0.065,0.068,0.051,0.08,0.011,0.002,0.002,0.065,0.029,0.002,0.061,0.062,0.003,0.067,0.028,0.029,0.002
14,150,0.5,0.5,4,SD (sec),0.069,0.002,0.24,0.243,0.204,0.262,0.06,0.002,0.002,0.238,0.153,0.002,0.232,0.231,0.007,0.24,0.148,0.151,0.002
14,150,0.5,0.5,4,Mix % (take failure into account),0.013,0.0129,0.1133,0.0955,0.2262,0.0262,0.0262,0.0304,0.1003,0.0304,0.1129,0.0262,0.0304,0.0433,0.0129,0.0304,0.0129,0.0129,0.0433
15,200,0.5,0.5,2,Avg (sec),0.061,0.002,0.421,0.425,0.314,0.515,0.053,0.002,0.002,0.426,0.205,0.002,0.421,0.414,0.003,0.425,0.193,0.202,0.002
15,200,0.5,0.5,2,SD (sec),0.226,0.002,0.493,0.493,0.461,0.612,0.21,0.002,0.002,0.493,0.4,0.002,0.493,0.491,0.008,0.493,0.391,0.398,0.002
15,200,0.5,0.5,2,Mix % (take failure into account),0.0129,0.013,0.113,0.0954,0.2262,0.0258,0.0258,0.0307,0.1,0.0307,0.1131,0.0259,0.0307,0.0437,0.013,0.0307,0.013,0.013,0.0436
16,150,1,0.25,2,Avg (sec),0.011,0.002,0.06,0.062,0.065,0.091,0.01,0.002,0.002,0.056,0.026,0.002,0.057,0.063,0.003,0.064,0.027,0.029,0.002
16,150,1,0.25,2,SD (sec),0.06,0.002,0.229,0.232,0.235,0.276,0.059,0.002,0.002,0.22,0.143,0.002,0.223,0.233,0.008,0.235,0.145,0.151,0.002
16,150,1,0.25,2,Mix % (take failure into account),0.0129,0.0129,0.1133,0.0955,0.2262,0.0262,0.0263,0.0304,0.1004,0.0304,0.113,0.0263,0.0304,0.0433,0.0129,0.0304,0.0129,0.0129,0.0433
17,50,1,0.25,2,Avg (sec),0.008,0.001,0.004,0.005,0.019,0.03,0.008,0.001,0.001,0.004,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
17,50,1,0.25,2,SD (sec),0.008,0.001,0.001,0.007,0.028,0.034,0.008,0.001,0.001,0.007,0.008,0.001,0.002,0.008,0.008,0.008,0.006,0.007,0.001
17,50,1,0.25,2,Mix % (take failure into account),0.0132,0.0132,0.1128,0.096,0.2259,0.0261,0.0261,0.0303,0.0996,0.0304,0.1131,0.0261,0.0303,0.0435,0.0132,0.0303,0.0132,0.0132,0.0436
18,50,0.5,0.25,2,Avg (sec),0.008,0.001,0.004,0.005,0.019,0.03,0.007,0.001,0.001,0.004,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
18,50,0.5,0.25,2,SD (sec),0.008,0.001,0.002,0.008,0.057,0.044,0.007,0.001,0.001,0.007,0.007,0.001,0.001,0.007,0.007,0.008,0.007,0.007,0.001
18,50,0.5,0.25,2,Mix % (take failure into account),0.0131,0.0132,0.113,0.0958,0.226,0.0263,0.0262,0.0302,0.0999,0.0303,0.113,0.0262,0.0302,0.0434,0.0132,0.0302,0.0132,0.0132,0.0434
19,150,0.5,0.5,2,Avg (sec),0.014,0.002,0.065,0.069,0.049,0.071,0.014,0.002,0.002,0.068,0.028,0.002,0.063,0.069,0.003,0.066,0.03,0.026,0.002
19,150,0.5,0.5,2,SD (sec),0.08,0.002,0.239,0.244,0.2,0.245,0.083,0.002,0.002,0.243,0.147,0.002,0.236,0.243,0.007,0.238,0.156,0.143,0.002
19,150,0.5,0.5,2,Mix % (take failure into account),0.013,0.013,0.113,0.0956,0.2261,0.0259,0.026,0.0305,0.1,0.0305,0.1131,0.026,0.0305,0.0435,0.013,0.0305,0.013,0.013,0.0435
20,100,1,0.25,2,Avg (sec),0.007,0.002,0.004,0.005,0.024,0.027,0.007,0.002,0.001,0.005,0.005,0.002,0.004,0.005,0.003,0.005,0.005,0.005,0.001
20,100,1,0.25,2,SD (sec),0.007,0.002,0.002,0.008,0.068,0.07,0.008,0.002,0.002,0.008,0.008,0.002,0.003,0.007,0.008,0.008,0.008,0.007,0.002
20,100,1,0.25,2,Mix % (take failure into account),0.0129,0.0129,0.113,0.0953,0.2262,0.0259,0.0259,0.0307,0.1001,0.0307,0.1131,0.0259,0.0307,0.0436,0.0129,0.0307,0.0129,0.0129,0.0436
21,100,0.5,0.5,4,Avg (sec),0.007,0.002,0.004,0.005,0.009,0.016,0.007,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
21,100,0.5,0.5,4,SD (sec),0.007,0.001,0.002,0.008,0.015,0.017,0.008,0.002,0.002,0.007,0.008,0.002,0.002,0.008,0.007,0.008,0.008,0.008,0.002
21,100,0.5,0.5,4,Mix % (take failure into account),0.0131,0.0131,0.1129,0.0958,0.226,0.026,0.026,0.0304,0.0997,0.0305,0.1131,0.026,0.0305,0.0436,0.0131,0.0304,0.0131,0.0131,0.0436
22,200,0.5,0.25,1,Avg (sec),0.049,0.002,0.413,0.41,0.344,0.53,0.055,0.002,0.002,0.408,0.2,0.002,0.415,0.412,0.003,0.413,0.201,0.198,0.002
22,200,0.5,0.25,1,SD (sec),0.201,0.002,0.491,0.491,0.507,0.624,0.213,0.002,0.002,0.49,0.396,0.002,0.491,0.491,0.007,0.491,0.396,0.394,0.002
22,200,0.5,0.25,1,Mix % (take failure into account),0.013,0.0131,0.1131,0.0956,0.2261,0.0262,0.0262,0.0304,0.1001,0.0304,0.113,0.0262,0.0304,0.0435,0.013,0.0304,0.013,0.0131,0.0434
23,200,1,0.25,4,Avg (sec),0.055,0.002,0.4,0.408,0.39,0.572,0.055,0.002,0.002,0.406,0.194,0.002,0.405,0.4,0.003,0.411,0.191,0.197,0.002
23,200,1,0.25,4,SD (sec),0.211,0.002,0.489,0.49,1.15,1.076,0.214,0.003,0.003,0.49,0.391,0.003,0.49,0.488,0.007,0.49,0.388,0.393,0.003
23,200,1,0.25,4,Mix % (take failure into account),0.0131,0.013,0.1129,0.0956,0.226,0.026,0.026,0.0305,0.0999,0.0305,0.1131,0.026,0.0305,0.0435,0.013,0.0305,0.013,0.013,0.0436
24,300,1,0.5,4,Avg (sec),0.051,0.002,0.431,0.431,0.322,0.519,0.055,0.003,0.002,0.433,0.21,0.002,0.429,0.432,0.003,0.434,0.217,0.209,0.002
24,300,1,0.5,4,SD (sec),0.204,0.006,0.495,0.494,0.464,0.611,0.212,0.008,0.008,0.495,0.403,0.008,0.494,0.495,0.008,0.496,0.407,0.402,0.008
24,300,1,0.5,4,Mix % (take failure into account),0.0129,0.0129,0.1134,0.0954,0.2263,0.0264,0.0263,0.0304,0.1005,0.0304,0.1128,0.0263,0.0304,0.0433,0.0129,0.0303,0.0129,0.0129,0.0433
25,300,1,0.25,2,Avg (sec),0.007,0.002,0.014,0.017,22.757,14.163,0.008,0.001,0.001,0.017,0.008,0.001,0.017,0.015,0.003,0.015,0.007,0.01,0.001
25,300,1,0.25,2,SD (sec),0.008,0.001,0.099,0.108,26.82,18.038,0.023,0.001,0.001,0.109,0.051,0.002,0.114,0.1,0.007,0.098,0.043,0.068,0.001
25,300,1,0.25,2,Mix % (take failure into account),0.0131,0.0132,0.113,0.0959,0.2244,0.0255,0.0257,0.0306,0.0997,0.0307,0.1136,0.0257,0.0307,0.0439,0.0131,0.0306,0.0133,0.0132,0.0439
26,300,0.5,0.5,4,Avg (sec),0.054,0.002,0.431,0.433,0.319,0.523,0.056,0.002,0.002,0.428,0.212,0.002,0.436,0.439,0.003,0.434,0.211,0.212,0.002
26,300,0.5,0.5,4,SD (sec),0.209,0.009,0.495,0.494,0.463,0.617,0.214,0.013,0.01,0.494,0.404,0.016,0.495,0.496,0.01,0.495,0.403,0.404,0.007
26,300,0.5,0.5,4,Mix % (take failure into account),0.0131,0.0131,0.1127,0.0958,0.2259,0.0258,0.0258,0.0305,0.0996,0.0305,0.1133,0.0258,0.0306,0.0437,0.0132,0.0305,0.0132,0.0132,0.0437
27,50,0.5,0.25,4,Avg (sec),0.008,0.001,0.004,0.005,0.021,0.065,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.006,0.005,0.005,0.002
27,50,0.5,0.25,4,SD (sec),0.016,0.002,0.01,0.014,0.132,0.265,0.008,0.001,0.001,0.011,0.007,0.004,0.002,0.011,0.008,0.018,0.009,0.009,0.007
27,50,0.5,0.25,4,Mix % (take failure into account),0.0133,0.0133,0.113,0.0964,0.2258,0.0266,0.0267,0.0299,0.0998,0.0298,0.113,0.0267,0.0299,0.0431,0.0133,0.0299,0.0133,0.0133,0.0432
28,50,1,0.5,2,Avg (sec),0.007,0.001,0.004,0.005,0.008,0.015,0.008,0.001,0.001,0.004,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
28,50,1,0.5,2,SD (sec),0.007,0.001,0.001,0.007,0.014,0.016,0.008,0.001,0.001,0.007,0.007,0.001,0.002,0.007,0.007,0.007,0.007,0.008,0.001
28,50,1,0.5,2,Mix % (take failure into account),0.0134,0.0134,0.1124,0.0965,0.2257,0.0261,0.026,0.0302,0.0991,0.0301,0.1132,0.0261,0.0301,0.0436,0.0134,0.0301,0.0134,0.0134,0.0436
29,150,1,0.5,1,Avg (sec),0.011,0.002,0.069,0.071,0.051,0.079,0.01,0.002,0.002,0.07,0.029,0.001,0.065,0.071,0.003,0.072,0.028,0.033,0.001
29,150,1,0.5,1,SD (sec),0.064,0.002,0.247,0.248,0.207,0.269,0.06,0.002,0.002,0.246,0.153,0.002,0.239,0.247,0.008,0.25,0.149,0.163,0.002
29,150,1,0.5,1,Mix % (take failure into account),0.0131,0.0131,0.1129,0.0958,0.226,0.0261,0.0261,0.0304,0.0998,0.0304,0.1131,0.026,0.0304,0.0435,0.0131,0.0304,0.0131,0.0131,0.0436
