"date";"requests"
2016-07-08 01:00:00;412619
2016-07-08 02:00:00;310029
2016-07-08 03:00:00;265026
2016-07-08 04:00:00;252494
2016-07-08 05:00:00;342877
2016-07-08 06:00:00;554048
2016-07-08 07:00:00;924359
2016-07-08 08:00:00;1102654
2016-07-08 09:00:00;1295613
2016-07-08 10:00:00;1333365
2016-07-08 11:00:00;1237563
2016-07-08 12:00:00;1229917
2016-07-08 13:00:00;1222083
2016-07-08 14:00:00;1138636
2016-07-08 15:00:00;1038624
2016-07-08 16:00:00;908819
2016-07-08 17:00:00;837256
2016-07-08 18:00:00;798739
2016-07-08 19:00:00;861459
2016-07-08 20:00:00;917581
2016-07-08 21:00:00;872213
2016-07-08 22:00:00;755987
2016-07-08 23:00:00;625188
2016-07-09 00:00:00;476323
2016-07-09 01:00:00;395153
2016-07-09 02:00:00;272840
2016-07-09 03:00:00;233762
2016-07-09 04:00:00;254400
2016-07-09 05:00:00;294258
2016-07-09 06:00:00;345615
2016-07-09 07:00:00;454792
2016-07-09 08:00:00;593603
2016-07-09 09:00:00;747750
2016-07-09 10:00:00;855164
2016-07-09 11:00:00;853372
2016-07-09 12:00:00;836389
2016-07-09 13:00:00;841520
2016-07-09 14:00:00;851003
2016-07-09 15:00:00;871083
2016-07-09 16:00:00;856283
2016-07-09 17:00:00;810505
2016-07-09 18:00:00;796200
2016-07-09 19:00:00;823222
2016-07-09 20:00:00;855333
2016-07-09 21:00:00;933933
2016-07-09 22:00:00;889181
2016-07-09 23:00:00;722667
2016-07-10 00:00:00;510085
2016-07-10 01:00:00;459644
2016-07-10 02:00:00;363711
2016-07-10 03:00:00;321338
2016-07-10 04:00:00;296200
2016-07-10 05:00:00;334487
2016-07-10 06:00:00;378581
2016-07-10 07:00:00;508065
2016-07-10 08:00:00;648698
2016-07-10 09:00:00;849163
2016-07-10 10:00:00;976914
2016-07-10 11:00:00;1004702
2016-07-10 12:00:00;1053193
2016-07-10 13:00:00;963862
2016-07-10 14:00:00;988045
2016-07-10 15:00:00;1035304
2016-07-10 16:00:00;1018819
2016-07-10 17:00:00;1018068
2016-07-10 18:00:00;994179
2016-07-10 19:00:00;1058507
2016-07-10 20:00:00;977277
2016-07-10 21:00:00;975153
2016-07-10 22:00:00;770224
2016-07-10 23:00:00;667796
2016-07-11 00:00:00;475771
2016-07-11 01:00:00;457428
2016-07-11 02:00:00;342916
2016-07-11 03:00:00;322172
2016-07-11 04:00:00;310151
2016-07-11 05:00:00;406508
2016-07-11 06:00:00;591269
2016-07-11 07:00:00;956729
2016-07-11 08:00:00;1249864
2016-07-11 09:00:00;1449283
2016-07-11 10:00:00;1515598
2016-07-11 11:00:00;1465382
2016-07-11 12:00:00;1592944
2016-07-11 13:00:00;1707985
2016-07-11 14:00:00;1624960
2016-07-11 15:00:00;1471317
2016-07-11 16:00:00;1269374
2016-07-11 17:00:00;1116134
2016-07-11 18:00:00;1096711
2016-07-11 19:00:00;1164469
2016-07-11 20:00:00;1181617
2016-07-11 21:00:00;1135413
2016-07-11 22:00:00;947574
2016-07-11 23:00:00;663361
2016-07-12 00:00:00;481246
2016-07-12 01:00:00;402955
2016-07-12 02:00:00;394979
2016-07-12 03:00:00;306816
2016-07-12 04:00:00;304402
2016-07-12 05:00:00;403608
2016-07-12 06:00:00;640311
2016-07-12 07:00:00;1014078
2016-07-12 08:00:00;1315473
2016-07-12 09:00:00;1537143
2016-07-12 10:00:00;1615324
2016-07-12 11:00:00;1525210
2016-07-12 12:00:00;1624092
2016-07-12 13:00:00;1692053
2016-07-12 14:00:00;1665678
2016-07-12 15:00:00;1513528
2016-07-12 16:00:00;1274049
2016-07-12 17:00:00;1125341
2016-07-12 18:00:00;1084591
2016-07-12 19:00:00;1158739
2016-07-12 20:00:00;1225050
2016-07-12 21:00:00;1210300
2016-07-12 22:00:00;1000254
2016-07-12 23:00:00;712454
2016-07-13 00:00:00;480985
2016-07-13 01:00:00;389973
2016-07-13 02:00:00;366672
2016-07-13 03:00:00;350613
2016-07-13 04:00:00;323944
2016-07-13 05:00:00;425749
2016-07-13 06:00:00;647329
2016-07-13 07:00:00;1034927
2016-07-13 08:00:00;1289123
2016-07-13 09:00:00;1451993
2016-07-13 10:00:00;1514794
2016-07-13 11:00:00;1458600
2016-07-13 12:00:00;1526062
2016-07-13 13:00:00;1598946
2016-07-13 14:00:00;1643743
2016-07-13 15:00:00;1561559
2016-07-13 16:00:00;1258443
2016-07-13 17:00:00;1113945
2016-07-13 18:00:00;1054904
2016-07-13 19:00:00;1208165
2016-07-13 20:00:00;1194397
2016-07-13 21:00:00;1158853
2016-07-13 22:00:00;861348
2016-07-13 23:00:00;639488
2016-07-14 00:00:00;467962
2016-07-14 01:00:00;396382
2016-07-14 02:00:00;413735
2016-07-14 03:00:00;461980
2016-07-14 04:00:00;386276
2016-07-14 05:00:00;408306
2016-07-14 06:00:00;595293
2016-07-14 07:00:00;1005037
2016-07-14 08:00:00;1321195
2016-07-14 09:00:00;1558362
2016-07-14 10:00:00;1621207
2016-07-14 11:00:00;1463344
2016-07-14 12:00:00;1485610
2016-07-14 13:00:00;1535740
2016-07-14 14:00:00;1517200
2016-07-14 15:00:00;1466760
2016-07-14 16:00:00;1294914
2016-07-14 17:00:00;1094857
2016-07-14 18:00:00;975915
2016-07-14 19:00:00;1070112
2016-07-14 20:00:00;1089789
2016-07-14 21:00:00;1031971
2016-07-14 22:00:00;885831
2016-07-14 23:00:00;623603
2016-07-15 00:00:00;500665
2016-07-15 01:00:00;395523
2016-07-15 02:00:00;351443
2016-07-15 03:00:00;379455
2016-07-15 04:00:00;448549
2016-07-15 05:00:00;458267
2016-07-15 06:00:00;579823
2016-07-15 07:00:00;917931
2016-07-15 08:00:00;1161466
2016-07-15 09:00:00;1376332
2016-07-15 10:00:00;1517128
2016-07-15 11:00:00;1406737
2016-07-15 12:00:00;1287410
2016-07-15 13:00:00;1247204
2016-07-15 14:00:00;1163278
2016-07-15 15:00:00;1125244
2016-07-15 16:00:00;1058038
2016-07-15 17:00:00;1021394
2016-07-15 18:00:00;886156
2016-07-15 19:00:00;908728
2016-07-15 20:00:00;941372
2016-07-15 21:00:00;950864
2016-07-15 22:00:00;1441285
2016-07-15 23:00:00;1488126
2016-07-16 00:00:00;948300
