State - number of concurrent users,Frequency ,,,
15,3,,,
16,11,,,
17,6,,,
18,6,,,
19,6,,,
20,8,,,
25,2,,,
26,4,,,
27,2,,,
28,2,,,
30,4,,,
31,4,,,
32,8,,,
33,7,,,
34,7,,,
35,7,,,
36,7,,,
37,6,,,
38,5,,,
39,1,,,
40,4,,,
41,3,,,
42,3,,,
43,4,,,
45,10,,,
50,13,,,
55,21,,,
57,10,,,
60,20,,,
65,12,,,
70,19,,,
75,25,,,
80,28,,,
85,26,,,
90,18,,,
95,16,,,
100,17,,,
105,15,,,
110,6,,,
115,1,,,
120,1,,,
