ID,Users,Memory,CPU,CartReplicas,Metric,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
23,100,16,0.25,1,Mix % (take failure into account),0.0131,0.0131,0.1126,0.0957,0.2258,0.0256,0.0257,0.0308,0.0996,0.0308,0.1133,0.0257,0.0307,0.0438,0.0131,0.0308,0.0131,0.0131,0.0438
24,300,8,0.5,4,Avg (sec),0.054,0.002,0.433,0.439,0.32,0.522,0.057,0.002,0.002,0.436,0.212,0.002,0.429,0.429,0.003,0.424,0.217,0.211,0.002
24,300,8,0.5,4,SD (sec),0.21,0.006,0.495,0.495,0.463,0.614,0.215,0.007,0.007,0.495,0.404,0.008,0.494,0.494,0.01,0.493,0.408,0.404,0.008
24,300,8,0.5,4,Mix % (take failure into account),0.0131,0.0131,0.1128,0.0957,0.226,0.026,0.0259,0.0305,0.0998,0.0305,0.1132,0.0259,0.0305,0.0436,0.0131,0.0305,0.0131,0.0131,0.0436
25,250,8,0.5,4,Avg (sec),0.052,0.002,0.432,0.436,0.32,0.528,0.058,0.002,0.002,0.425,0.207,0.002,0.428,0.428,0.003,0.429,0.21,0.219,0.002
25,250,8,0.5,4,SD (sec),0.206,0.004,0.494,0.495,0.463,0.613,0.218,0.004,0.003,0.493,0.401,0.003,0.494,0.494,0.008,0.494,0.404,0.409,0.004
25,250,8,0.5,4,Mix % (take failure into account),0.0131,0.0131,0.1128,0.0958,0.2259,0.0259,0.0259,0.0305,0.0998,0.0305,0.1132,0.0259,0.0305,0.0436,0.0131,0.0305,0.0131,0.0131,0.0436
26,200,8,0.25,2,Avg (sec),0.052,0.002,0.404,0.4,0.404,0.588,0.053,0.002,0.002,0.408,0.196,0.002,0.404,0.406,0.003,0.413,0.194,0.195,0.002
26,200,8,0.25,2,SD (sec),0.206,0.002,0.489,0.488,0.8,0.825,0.209,0.002,0.002,0.49,0.392,0.003,0.489,0.49,0.007,0.491,0.391,0.392,0.002
26,200,8,0.25,2,Mix % (take failure into account),0.013,0.013,0.1131,0.0955,0.226,0.0259,0.026,0.0306,0.1001,0.0306,0.113,0.026,0.0306,0.0436,0.013,0.0306,0.013,0.013,0.0435
27,200,8,0.25,1,Avg (sec),0.048,0.002,0.416,0.41,0.316,0.52,0.056,0.002,0.002,0.41,0.205,0.002,0.414,0.414,0.003,0.407,0.189,0.202,0.002
27,200,8,0.25,1,SD (sec),0.198,0.002,0.492,0.491,0.459,0.61,0.216,0.003,0.002,0.49,0.399,0.002,0.492,0.491,0.007,0.49,0.387,0.397,0.003
27,200,8,0.25,1,Mix % (take failure into account),0.0134,0.0133,0.1126,0.0962,0.2257,0.0258,0.0259,0.0304,0.0993,0.0303,0.1133,0.0259,0.0304,0.0436,0.0132,0.0303,0.0133,0.0133,0.0436
28,50,16,0.5,1,Avg (sec),0.007,0.002,0.004,0.005,0.008,0.015,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
28,50,16,0.5,1,SD (sec),0.007,0.001,0.002,0.007,0.014,0.015,0.008,0.001,0.001,0.007,0.008,0.001,0.002,0.007,0.007,0.008,0.007,0.007,0.001
28,50,16,0.5,1,Mix % (take failure into account),0.0128,0.0128,0.1133,0.0951,0.2263,0.026,0.026,0.0306,0.1005,0.0307,0.1129,0.026,0.0307,0.0435,0.0128,0.0306,0.0128,0.0128,0.0435
29,100,8,0.5,1,Avg (sec),0.007,0.002,0.004,0.005,0.007,0.013,0.007,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
29,100,8,0.5,1,SD (sec),0.008,0.002,0.002,0.008,0.01,0.013,0.008,0.002,0.002,0.008,0.007,0.002,0.002,0.008,0.007,0.008,0.007,0.008,0.002
29,100,8,0.5,1,Mix % (take failure into account),0.0132,0.0132,0.1128,0.0961,0.2259,0.0262,0.0262,0.0302,0.0995,0.0302,0.1132,0.0262,0.0303,0.0435,0.0133,0.0302,0.0132,0.0132,0.0435
30,250,8,0.25,1,Avg (sec),0.056,0.002,0.418,0.41,0.335,0.529,0.056,0.002,0.002,0.42,0.204,0.002,0.413,0.421,0.003,0.415,0.22,0.201,0.002
30,250,8,0.25,1,SD (sec),0.215,0.005,0.492,0.49,0.483,0.63,0.215,0.003,0.004,0.492,0.399,0.004,0.491,0.492,0.008,0.491,0.41,0.396,0.004
30,250,8,0.25,1,Mix % (take failure into account),0.013,0.013,0.1129,0.0955,0.2261,0.0258,0.0258,0.0306,0.0999,0.0306,0.1131,0.0258,0.0306,0.0438,0.0131,0.0306,0.013,0.013,0.0437
31,200,8,0.5,2,Avg (sec),0.058,0.002,0.425,0.424,0.313,0.518,0.054,0.002,0.002,0.426,0.199,0.002,0.409,0.427,0.003,0.425,0.206,0.204,0.002
31,200,8,0.5,2,SD (sec),0.22,0.003,0.493,0.493,0.461,0.614,0.212,0.002,0.002,0.493,0.395,0.003,0.491,0.493,0.007,0.493,0.4,0.399,0.002
31,200,8,0.5,2,Mix % (take failure into account),0.0129,0.0129,0.1134,0.0953,0.2263,0.0263,0.0263,0.0305,0.1006,0.0305,0.1129,0.0262,0.0304,0.0433,0.0129,0.0305,0.0129,0.0129,0.0433
32,100,8,0.25,4,Avg (sec),0.008,0.002,0.004,0.005,0.123,0.08,0.008,0.002,0.002,0.005,0.005,0.002,0.004,0.006,0.003,0.006,0.005,0.005,0.002
32,100,8,0.25,4,SD (sec),0.008,0.002,0.003,0.008,0.469,0.372,0.008,0.002,0.002,0.008,0.008,0.002,0.002,0.008,0.008,0.008,0.007,0.007,0.002
32,100,8,0.25,4,Mix % (take failure into account),0.013,0.013,0.113,0.0954,0.2259,0.0258,0.0257,0.0308,0.1,0.0308,0.1131,0.0257,0.0308,0.0437,0.013,0.0308,0.013,0.013,0.0437
33,150,16,0.5,1,Avg (sec),0.012,0.002,0.067,0.067,0.046,0.072,0.012,0.002,0.002,0.067,0.028,0.002,0.066,0.06,0.003,0.065,0.028,0.032,0.002
33,150,16,0.5,1,SD (sec),0.066,0.002,0.242,0.241,0.195,0.249,0.067,0.002,0.002,0.241,0.147,0.002,0.24,0.228,0.007,0.237,0.147,0.162,0.002
33,150,16,0.5,1,Mix % (take failure into account),0.0132,0.0132,0.113,0.096,0.226,0.0262,0.0263,0.0302,0.0998,0.0302,0.113,0.0263,0.0302,0.0434,0.0132,0.0302,0.0132,0.0132,0.0434
34,100,16,0.25,2,Avg (sec),0.007,0.002,0.004,0.005,0.009,0.017,0.007,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
34,100,16,0.25,2,SD (sec),0.007,0.001,0.002,0.008,0.021,0.026,0.008,0.002,0.002,0.008,0.008,0.002,0.002,0.008,0.007,0.007,0.008,0.008,0.002
34,100,16,0.25,2,Mix % (take failure into account),0.0128,0.0128,0.1136,0.0952,0.2264,0.0264,0.0264,0.0304,0.1008,0.0304,0.1128,0.0264,0.0304,0.0432,0.0128,0.0305,0.0128,0.0128,0.0432
35,300,16,0.5,2,Avg (sec),0.058,0.003,0.431,0.428,0.317,0.52,0.053,0.002,0.002,0.431,0.21,0.002,0.419,0.428,0.003,0.432,0.205,0.207,0.002
35,300,16,0.5,2,SD (sec),0.217,0.008,0.494,0.494,0.462,0.619,0.208,0.007,0.007,0.494,0.403,0.007,0.492,0.494,0.008,0.494,0.399,0.401,0.007
35,300,16,0.5,2,Mix % (take failure into account),0.013,0.013,0.113,0.0956,0.2261,0.0261,0.0261,0.0304,0.1,0.0305,0.113,0.0261,0.0304,0.0435,0.0131,0.0304,0.013,0.013,0.0435
36,200,16,0.5,4,Avg (sec),0.054,0.002,0.424,0.426,0.312,0.504,0.052,0.002,0.002,0.422,0.208,0.002,0.425,0.412,0.003,0.422,0.21,0.196,0.002
36,200,16,0.5,4,SD (sec),0.21,0.002,0.493,0.493,0.46,0.604,0.206,0.002,0.003,0.493,0.402,0.003,0.493,0.491,0.007,0.493,0.403,0.392,0.002
36,200,16,0.5,4,Mix % (take failure into account),0.0131,0.0131,0.1127,0.0958,0.2259,0.0258,0.0258,0.0306,0.0996,0.0306,0.1133,0.0258,0.0306,0.0437,0.0132,0.0306,0.0131,0.0131,0.0437
37,50,8,0.25,1,Avg (sec),0.008,0.001,0.004,0.005,0.01,0.021,0.007,0.001,0.001,0.004,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
37,50,8,0.25,1,SD (sec),0.008,0.001,0.002,0.007,0.019,0.025,0.007,0.001,0.001,0.007,0.008,0.001,0.001,0.008,0.007,0.008,0.007,0.008,0.001
37,50,8,0.25,1,Mix % (take failure into account),0.0131,0.0131,0.1131,0.0957,0.2261,0.0261,0.0261,0.0304,0.1,0.0304,0.113,0.0261,0.0304,0.0435,0.013,0.0304,0.0131,0.0131,0.0434
38,100,16,0.5,1,Avg (sec),0.007,0.002,0.004,0.005,0.007,0.013,0.007,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
38,100,16,0.5,1,SD (sec),0.008,0.001,0.002,0.008,0.01,0.012,0.008,0.002,0.002,0.007,0.008,0.002,0.002,0.008,0.008,0.008,0.007,0.008,0.002
38,100,16,0.5,1,Mix % (take failure into account),0.0133,0.0133,0.1126,0.0962,0.2258,0.026,0.026,0.0303,0.0993,0.0303,0.1132,0.026,0.0303,0.0436,0.0133,0.0303,0.0133,0.0133,0.0436
39,2,16,1,1,Avg (sec),0.012,0.002,0.005,0.006,0.011,0.024,0.013,0.002,0.002,0.005,0.007,0.002,0.005,0.006,0.005,0.006,0.005,0.006,0.002
39,2,16,1,1,SD (sec),0.006,0.001,0.001,0.008,0.014,0.024,0.009,0.001,0.001,0.006,0.009,0.001,0.001,0.007,0.009,0.006,0.002,0.008,0
39,2,16,1,1,Mix % (take failure into account),0.0117,0.0117,0.1151,0.0928,0.2276,0.0267,0.0264,0.0312,0.1037,0.0312,0.1122,0.0264,0.0312,0.0429,0.0117,0.0312,0.0117,0.0117,0.0429
40,150,16,0.25,2,Avg (sec),0.011,0.002,0.059,0.062,0.054,0.083,0.011,0.002,0.002,0.06,0.026,0.002,0.059,0.063,0.003,0.061,0.025,0.026,0.002
40,150,16,0.25,2,SD (sec),0.063,0.002,0.228,0.231,0.201,0.254,0.063,0.002,0.002,0.227,0.142,0.002,0.227,0.233,0.008,0.228,0.139,0.14,0.002
40,150,16,0.25,2,Mix % (take failure into account),0.0129,0.0129,0.1133,0.0953,0.2262,0.026,0.0261,0.0306,0.1004,0.0306,0.113,0.0261,0.0306,0.0434,0.0128,0.0306,0.0129,0.0129,0.0434
41,100,8,0.5,4,Avg (sec),0.007,0.002,0.004,0.005,0.007,0.013,0.007,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
41,100,8,0.5,4,SD (sec),0.008,0.002,0.003,0.008,0.012,0.013,0.008,0.002,0.002,0.008,0.008,0.002,0.002,0.008,0.007,0.008,0.008,0.008,0.002
41,100,8,0.5,4,Mix % (take failure into account),0.0132,0.0132,0.1128,0.096,0.2259,0.0261,0.026,0.0303,0.0996,0.0303,0.1131,0.026,0.0304,0.0435,0.0132,0.0303,0.0132,0.0132,0.0436
42,250,8,0.5,1,Avg (sec),0.057,0.002,0.424,0.428,0.316,0.516,0.055,0.002,0.002,0.431,0.202,0.002,0.421,0.427,0.003,0.428,0.21,0.215,0.002
42,250,8,0.5,1,SD (sec),0.217,0.003,0.493,0.493,0.462,0.61,0.212,0.003,0.003,0.494,0.397,0.003,0.493,0.494,0.008,0.494,0.403,0.407,0.003
42,250,8,0.5,1,Mix % (take failure into account),0.0128,0.0128,0.1133,0.095,0.2263,0.0259,0.0259,0.0308,0.1005,0.0308,0.113,0.0259,0.0307,0.0435,0.0128,0.0308,0.0128,0.0128,0.0435
43,50,8,0.25,4,Avg (sec),0.008,0.002,0.004,0.005,0.017,0.029,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.006,0.005,0.005,0.001
43,50,8,0.25,4,SD (sec),0.008,0.001,0.002,0.008,0.024,0.03,0.007,0.001,0.001,0.008,0.008,0.001,0.002,0.008,0.008,0.008,0.007,0.007,0.002
43,50,8,0.25,4,Mix % (take failure into account),0.0131,0.0131,0.1133,0.0961,0.2261,0.0267,0.0267,0.0299,0.1002,0.0299,0.1128,0.0267,0.0299,0.043,0.0131,0.0299,0.0131,0.0131,0.0431
44,150,8,0.25,2,Avg (sec),0.007,0.002,0.004,0.005,5.632,2.353,0.007,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
44,150,8,0.25,2,SD (sec),0.007,0.001,0.002,0.008,7.356,3.824,0.007,0.001,0.001,0.008,0.008,0.001,0.002,0.008,0.008,0.007,0.007,0.008,0.001
44,150,8,0.25,2,Mix % (take failure into account),0.0133,0.0132,0.1133,0.0962,0.2253,0.0266,0.0266,0.03,0.1001,0.03,0.1129,0.0266,0.03,0.0432,0.0132,0.03,0.0133,0.0133,0.0432
45,150,8,0.5,2,Avg (sec),0.01,0.002,0.073,0.072,0.053,0.08,0.012,0.002,0.002,0.071,0.03,0.002,0.072,0.074,0.003,0.07,0.031,0.032,0.002
