"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1600874393","100","GET","home",13.89,0.00,16,19,21,23,27,30,32,35,46,46,46,46,131,0,17,18,6,46,17368
"1600874393","100","POST","search_ticket",13.00,0.00,780,1500,2200,2700,4200,4700,6000,6400,6800,6800,6800,6800,153,0,670,1379,28,6848,404
"1600874393","100","","Aggregated",39.67,0.00,500,1200,1700,2200,3200,4300,6000,6400,6800,6800,6800,6800,451,0,330,1026,6,6848,6547
"1600874395","100","POST","admin_login",5.20,0.00,2300,2600,2700,2800,3000,3100,3200,3200,3200,3200,3200,3200,52,0,1500,1530,124,3169,341
"1600874395","100","GET","assurances",1.50,0.00,29,31,38,39,63,77,77,77,77,77,77,77,25,0,31,334,12,1916,108
"1600874395","100","GET","booking_page",1.60,0.00,11,20,24,24,26,29,29,29,29,29,29,29,25,0,11,14,8,29,34789
"1600874395","100","POST","client_login",2.90,0.00,1000,1200,1500,2000,2500,2900,2900,2900,2900,2900,2900,2900,42,0,780,1032,178,2938,378
"1600874395","100","GET","contacts",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2100,1661,74,2702,38
"1600874395","100","POST","create_new_user",3.50,0.00,3700,4300,4600,5100,5500,5800,6000,6000,6000,6000,6000,6000,48,0,2400,2856,209,6030,297
"1600874395","100","GET","foodservice",1.30,0.00,400,760,5300,6400,6400,6400,6500,6500,6500,6500,6500,6500,24,0,400,2241,126,6502,1090
"1600874395","100","GET","home",12.90,0.00,17,20,22,25,27,31,32,35,35,35,35,35,141,0,17,18,6,46,17368
"1600874395","100","POST","search_ticket",14.70,0.00,1500,2800,3700,4100,4800,6500,7400,7600,8700,8700,8700,8700,187,0,840,1686,28,8692,402
"1600874395","100","","Aggregated",43.60,0.00,870,1900,2500,2800,4300,5500,6400,6800,8700,8700,8700,8700,567,0,400,1197,6,8692,6122
"1600874397","100","POST","admin_login",4.00,0.00,2600,2700,2800,2800,3100,3100,3200,3200,3200,3200,3200,3200,54,0,1300,1502,124,3169,341
"1600874397","100","GET","assurances",2.30,0.00,26,31,37,39,63,77,120,120,120,120,120,120,36,0,29,243,12,1916,108
"1600874397","100","GET","booking_page",1.80,0.00,13,20,24,25,27,29,47,47,47,47,47,47,36,0,12,15,8,47,34789
"1600874397","100","POST","client_login",3.50,0.00,840,1200,1300,1500,2300,2600,2900,2900,2900,2900,2900,2900,54,0,780,979,178,2938,386
"1600874397","100","GET","contacts",2.10,0.00,68,75,140,140,280,320,320,320,320,320,320,320,33,0,870,1190,31,2702,38
"1600874397","100","POST","create_new_user",4.00,0.00,4200,4800,5100,5200,5500,5800,6000,6000,6000,6000,6000,6000,54,0,2600,2947,209,6030,297
"1600874397","100","GET","foodservice",2.20,0.00,290,400,760,2300,6400,6400,6500,6500,6500,6500,6500,6500,33,0,300,1699,126,6502,1090
"1600874397","100","GET","home",10.30,0.00,14,17,19,20,25,27,31,32,32,32,32,32,154,0,16,17,6,46,17368
"1600874397","100","POST","search_ticket",14.10,0.00,2200,3600,4200,4500,6400,7600,8600,8700,11000,11000,11000,11000,226,0,1000,1998,28,11369,414
"1600874397","100","POST","set_new_contact",0.00,0.00,84,86,86,190,190,190,190,190,190,190,190,190,32,0,850,693,18,1211,290
"1600874397","100","","Aggregated",44.30,0.00,860,1900,2700,3200,4700,6000,7400,8200,11000,11000,11000,11000,712,0,410,1228,6,11369,5795
"1600874399","100","POST","admin_login",3.00,0.00,2600,2700,2800,2800,3000,3100,3100,3100,3100,3100,3100,3100,54,0,1300,1502,124,3169,341
"1600874399","100","GET","assurances",2.60,0.00,26,30,37,38,56,77,120,120,120,120,120,120,46,0,27,197,12,1916,108
"1600874399","100","GET","booking_page",2.60,0.00,13,20,23,24,26,29,47,47,47,47,47,47,46,0,12,15,8,47,34789
"1600874399","100","POST","client_login",4.40,0.00,830,1000,1200,1200,2300,2900,2900,2900,2900,2900,2900,2900,54,0,780,979,178,2938,386
"1600874399","100","GET","contacts",3.00,0.00,54,65,75,96,140,280,320,320,320,320,320,320,46,0,140,866,25,2702,38
"1600874399","100","POST","create_new_user",4.00,0.00,4300,5000,5100,5300,5500,5800,6000,6000,6000,6000,6000,6000,54,0,2600,2947,209,6030,297
"1600874399","100","GET","foodservice",3.00,0.00,260,330,400,470,6400,6400,6500,6500,6500,6500,6500,6500,46,0,260,1281,92,6502,1090
"1600874399","100","GET","home",6.50,0.00,11,14,17,18,25,31,32,32,32,32,32,32,167,0,15,17,6,46,17368
"1600874399","100","POST","search_ticket",14.80,0.00,2800,4200,5200,5600,7400,8600,9500,11000,12000,12000,12000,12000,262,0,1200,2253,28,11509,424
"1600874399","100","POST","set_new_contact",3.00,0.00,51,66,86,91,130,190,190,190,190,190,190,190,45,0,260,509,18,1211,290
"1600874399","100","","Aggregated",46.90,0.00,600,1500,2600,3300,5200,6400,8200,9300,12000,12000,12000,12000,820,0,310,1241,6,11509,5777
"1600874401","100","POST","admin_login",2.20,0.00,840,840,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,54,0,1300,1502,124,3169,341
"1600874401","100","GET","assurances",3.70,0.00,26,27,37,38,56,77,120,120,120,120,120,120,50,0,26,183,12,1916,108
"1600874401","100","GET","booking_page",3.70,0.00,12,17,20,23,26,29,47,47,47,47,47,47,50,0,12,15,8,47,34789
"1600874401","100","POST","client_login",4.10,0.00,780,850,1100,1100,1200,1300,1500,1500,1500,1500,1500,1500,54,0,780,979,178,2938,386
"1600874401","100","GET","contacts",4.30,0.00,48,62,68,87,140,280,320,320,320,320,320,320,50,0,96,799,14,2702,38
"1600874401","100","POST","create_new_user",3.60,0.00,5000,5100,5300,5500,5700,5800,6000,6000,6000,6000,6000,6000,54,0,2600,2947,209,6030,297
"1600874401","100","GET","foodservice",4.40,0.00,240,310,380,410,6400,6400,6500,6500,6500,6500,6500,6500,50,0,240,1189,87,6502,1090
"1600874401","100","GET","home",4.90,0.00,12,15,18,19,25,31,32,32,32,32,32,32,180,0,15,16,6,46,17368
"1600874401","100","POST","search_ticket",15.70,0.00,2800,4200,5200,5900,6900,8600,11000,11000,12000,12000,12000,12000,303,0,1200,2329,28,11509,424
"1600874401","100","POST","set_new_contact",4.30,0.00,43,58,84,86,110,130,190,190,190,190,190,190,50,0,130,461,18,1211,290
"1600874401","100","","Aggregated",50.90,0.00,350,1100,2300,3300,5400,6500,8200,9300,12000,12000,12000,12000,895,0,300,1267,6,11509,5727
"1600874403","100","POST","admin_login",0.30,0.00,840,840,840,840,840,840,840,840,840,840,840,840,54,0,1300,1502,124,3169,341
"1600874403","100","GET","assurances",4.10,0.00,24,26,37,37,55,61,120,120,120,120,120,120,50,0,26,183,12,1916,108
"1600874403","100","GET","booking_page",4.10,0.00,12,18,21,23,26,29,47,47,47,47,47,47,50,0,12,15,8,47,34789
"1600874403","100","POST","client_login",3.40,0.00,720,830,850,890,1200,1300,1300,1300,1300,1300,1300,1300,54,0,780,979,178,2938,386
"1600874403","100","GET","contacts",5.00,0.00,48,62,68,87,140,280,320,320,320,320,320,320,50,0,96,799,14,2702,38
"1600874403","100","POST","create_new_user",2.80,0.00,5000,5100,5200,5300,5300,5500,5500,5500,5500,5500,5500,5500,54,0,2600,2947,209,6030,297
