"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1600854595","1","","Aggregated",3.30,0.00,29,30,31,32,36,41,42,42,42,42,42,42,85,0,29,26,10,53,5135
"1600854597","1","GET","home",0.90,0.00,14,14,16,16,21,21,21,21,21,21,21,21,26,0,13,16,10,53,17368
"1600854597","1","POST","search_ticket",2.30,0.00,30,31,32,34,41,42,42,42,42,42,42,42,63,0,30,31,25,49,38
"1600854597","1","","Aggregated",3.20,0.00,29,30,31,31,36,41,42,42,42,42,42,42,89,0,29,26,10,53,5100
"1600854599","1","GET","home",0.90,0.00,14,15,16,17,21,21,21,21,21,21,21,21,28,0,13,16,10,53,17368
"1600854599","1","POST","search_ticket",2.20,0.00,30,30,32,33,36,41,42,42,42,42,42,42,68,0,30,31,25,49,38
"1600854599","1","","Aggregated",3.10,0.00,29,30,30,32,36,41,42,42,42,42,42,42,96,0,29,26,10,53,5092
"1600854601","1","GET","home",0.90,0.00,14,14,15,16,17,17,17,17,17,17,17,17,30,0,13,15,10,53,17368
"1600854601","1","POST","search_ticket",2.10,0.00,29,31,32,33,34,36,39,39,39,39,39,39,73,0,30,31,25,49,38
"1600854601","1","","Aggregated",3.00,0.00,29,29,31,32,34,36,39,39,39,39,39,39,103,0,29,26,10,53,5085
"1600854603","1","GET","home",1.00,0.00,15,16,17,19,21,21,21,21,21,21,21,21,32,0,13,16,10,53,17368
"1600854603","1","POST","search_ticket",2.30,0.00,31,32,32,33,34,36,39,39,39,39,39,39,78,0,30,31,25,49,38
"1600854603","1","","Aggregated",3.30,0.00,29,31,32,32,34,36,39,39,39,39,39,39,110,0,29,26,10,53,5079
"1600854605","1","GET","home",0.90,0.00,16,16,17,19,21,21,21,21,21,21,21,21,34,0,13,15,10,53,17368
"1600854605","1","POST","search_ticket",2.20,0.00,30,31,32,33,34,34,39,39,39,39,39,39,82,0,30,31,25,49,38
"1600854605","1","","Aggregated",3.10,0.00,29,30,31,32,34,34,39,39,39,39,39,39,116,0,29,26,10,53,5117
"1600854607","1","GET","home",0.90,0.00,15,15,16,19,21,21,21,21,21,21,21,21,36,0,13,15,10,53,17368
"1600854607","1","POST","search_ticket",2.10,0.00,31,31,32,33,34,34,39,39,39,39,39,39,88,0,30,31,25,49,38
"1600854607","1","","Aggregated",3.00,0.00,29,31,31,32,33,34,39,39,39,39,39,39,124,0,29,26,10,53,5069
"1600854609","1","GET","home",0.90,0.00,16,17,19,19,21,21,21,21,21,21,21,21,37,0,14,15,10,53,17368
"1600854609","1","POST","search_ticket",2.10,0.00,31,31,33,33,34,37,39,39,39,39,39,39,91,0,30,31,25,49,38
"1600854609","1","","Aggregated",3.00,0.00,29,31,31,33,34,37,39,39,39,39,39,39,128,0,29,26,10,53,5047
"1600854611","1","GET","home",0.90,0.00,15,16,17,19,21,21,21,21,21,21,21,21,39,0,13,15,9,53,17368
