ID,Users,Memory,CPU,CartReplicas,Metric,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
45,300,1,0.25,4,Avg (sec),0.007,0.002,0.004,0.005,19.086,9.781,0.008,0.002,0.002,0.005,0.006,0.001,0.004,0.006,0.003,0.006,0.005,0.005,0.002
45,300,1,0.25,4,SD (sec),0.007,0.001,0.002,0.008,36.864,20.129,0.007,0.002,0.002,0.007,0.008,0.002,0.003,0.008,0.008,0.008,0.007,0.007,0.003
45,300,1,0.25,4,Mix % (take failure into account),0.0128,0.0128,0.1141,0.0952,0.2244,0.0263,0.0265,0.0306,0.1014,0.0306,0.1129,0.0265,0.0306,0.0434,0.0127,0.0306,0.0128,0.0128,0.0432
46,100,1,0.25,1,Avg (sec),0.163,0.104,0.15,0.15,0.279,0.361,0.161,0.096,0.096,0.144,0.148,0.096,0.149,0.151,0.041,0.149,0.149,0.148,0.097
46,100,1,0.25,1,SD (sec),0.128,0.085,0.121,0.12,0.606,0.62,0.128,0.079,0.079,0.117,0.118,0.078,0.121,0.121,0.033,0.12,0.118,0.117,0.079
46,100,1,0.25,1,Mix % (take failure into account),0.0129,0.0129,0.1132,0.0953,0.2261,0.0259,0.0259,0.0307,0.1002,0.0307,0.113,0.0259,0.0307,0.0436,0.0129,0.0307,0.0129,0.0129,0.0436
47,250,1,0.25,2,Avg (sec),0.008,0.002,0.004,0.005,34.325,16.503,0.008,0.002,0.001,0.004,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
47,250,1,0.25,2,SD (sec),0.008,0.001,0.002,0.008,40.464,23.081,0.007,0.004,0.001,0.006,0.008,0.001,0.003,0.007,0.008,0.007,0.008,0.006,0.001
47,250,1,0.25,2,Mix % (take failure into account),0.0129,0.0129,0.1142,0.0956,0.2228,0.0263,0.0264,0.0305,0.1015,0.0305,0.1135,0.0265,0.0305,0.0436,0.0129,0.0305,0.0128,0.0128,0.0434
48,100,0.5,0.5,4,Avg (sec),0.007,0.002,0.004,0.005,0.009,0.016,0.007,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.006,0.005,0.005,0.002
48,100,0.5,0.5,4,SD (sec),0.008,0.001,0.002,0.008,0.014,0.018,0.008,0.002,0.002,0.008,0.008,0.002,0.003,0.008,0.007,0.008,0.008,0.008,0.002
48,100,0.5,0.5,4,Mix % (take failure into account),0.0129,0.0129,0.1133,0.0953,0.2263,0.0261,0.0261,0.0306,0.1003,0.0305,0.113,0.0261,0.0305,0.0435,0.0129,0.0305,0.0129,0.0129,0.0434
49,300,0.5,0.25,2,Avg (sec),0.147,0.089,0.129,0.132,21.14,13.756,0.142,0.079,0.078,0.121,0.129,0.081,0.128,0.13,0.035,0.128,0.133,0.136,0.079
49,300,0.5,0.25,2,SD (sec),0.119,0.078,0.115,0.114,26.299,17.848,0.118,0.072,0.072,0.11,0.113,0.071,0.116,0.116,0.03,0.115,0.111,0.113,0.072
49,300,0.5,0.25,2,Mix % (take failure into account),0.0125,0.0128,0.1136,0.0947,0.2245,0.0254,0.0254,0.0312,0.101,0.0312,0.1134,0.0254,0.0312,0.0443,0.0129,0.0312,0.0126,0.0126,0.0442
50,200,1,0.25,1,Avg (sec),0.056,0.002,0.416,0.418,0.316,0.507,0.052,0.002,0.002,0.418,0.203,0.002,0.419,0.419,0.003,0.419,0.19,0.192,0.002
50,200,1,0.25,1,SD (sec),0.214,0.003,0.492,0.492,0.458,0.607,0.206,0.004,0.003,0.492,0.398,0.004,0.492,0.492,0.007,0.492,0.387,0.389,0.003
50,200,1,0.25,1,Mix % (take failure into account),0.0129,0.0129,0.1133,0.0952,0.2262,0.026,0.0261,0.0306,0.1005,0.0306,0.113,0.0261,0.0306,0.0434,0.0129,0.0306,0.0129,0.0129,0.0435
51,100,1,0.5,4,Avg (sec),0.007,0.002,0.004,0.005,0.009,0.016,0.007,0.002,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.006,0.005,0.005,0.002
51,100,1,0.5,4,SD (sec),0.009,0.004,0.003,0.008,0.015,0.017,0.008,0.002,0.002,0.008,0.008,0.002,0.003,0.008,0.007,0.009,0.008,0.008,0.002
51,100,1,0.5,4,Mix % (take failure into account),0.013,0.013,0.1129,0.0955,0.2261,0.0258,0.0259,0.0306,0.0999,0.0306,0.1132,0.0259,0.0307,0.0436,0.013,0.0306,0.013,0.013,0.0437
52,250,1,0.25,1,Avg (sec),0.058,0.002,0.416,0.418,0.345,0.55,0.053,0.002,0.002,0.413,0.204,0.002,0.411,0.415,0.003,0.407,0.197,0.187,0.002
52,250,1,0.25,1,SD (sec),0.217,0.004,0.492,0.492,0.532,0.68,0.207,0.004,0.004,0.491,0.398,0.004,0.491,0.491,0.008,0.49,0.393,0.385,0.004
52,250,1,0.25,1,Mix % (take failure into account),0.0129,0.013,0.1132,0.0954,0.226,0.0262,0.0261,0.0305,0.1003,0.0305,0.1131,0.0261,0.0304,0.0436,0.013,0.0305,0.0129,0.0129,0.0436
53,100,1,0.25,4,Avg (sec),0.008,0.002,0.004,0.005,0.024,0.033,0.007,0.002,0.002,0.005,0.005,0.002,0.004,0.005,0.003,0.006,0.005,0.005,0.002
53,100,1,0.25,4,SD (sec),0.009,0.002,0.003,0.008,0.045,0.047,0.008,0.002,0.002,0.008,0.008,0.002,0.004,0.008,0.007,0.008,0.008,0.007,0.003
53,100,1,0.25,4,Mix % (take failure into account),0.0128,0.0128,0.1136,0.0952,0.2264,0.0264,0.0264,0.0304,0.1009,0.0304,0.1128,0.0264,0.0304,0.0431,0.0128,0.0305,0.0128,0.0128,0.0432
54,150,0.5,0.5,2,Avg (sec),0.013,0.002,0.063,0.063,0.047,0.07,0.012,0.002,0.002,0.058,0.028,0.002,0.057,0.064,0.003,0.062,0.032,0.031,0.002
54,150,0.5,0.5,2,SD (sec),0.073,0.002,0.236,0.234,0.195,0.25,0.07,0.003,0.002,0.225,0.147,0.002,0.225,0.234,0.007,0.231,0.16,0.157,0.002
54,150,0.5,0.5,2,Mix % (take failure into account),0.013,0.013,0.1132,0.0957,0.2262,0.0262,0.0263,0.0303,0.1001,0.0303,0.113,0.0263,0.0303,0.0434,0.013,0.0303,0.013,0.013,0.0433
55,300,1,0.5,4,Avg (sec),0.052,0.002,0.432,0.43,0.319,0.528,0.054,0.002,0.002,0.428,0.209,0.002,0.435,0.437,0.003,0.438,0.209,0.211,0.002
55,300,1,0.5,4,SD (sec),0.206,0.006,0.494,0.494,0.463,0.613,0.21,0.007,0.008,0.494,0.402,0.008,0.495,0.495,0.008,0.495,0.402,0.403,0.008
